"Greenhouse Gas Gross Total, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Missouri","142.35474221767097","139.77612028155116","138.6428645722515","138.36231996307527","146.74741645184395","153.1195530056451","160.0320483562889","163.05597316374275","164.5410818684292","163.16102008571698","164.07425749851893","170.20267603240725","171.5248707305028","178.36732869169876","179.1631790463498","181.5249449172023","180.73084118499668","178.43606746195627","176.01817547960655","169.5750689281745","177.52455340206845","174.8691519502881","167.20240132598704","173.90089952622577","174.39426532425122","165.01987361365966","156.58014680897713","164.75494929933907","166.3786907303943","156.64021987111755","147.4305991264418","156.24693029647457","152.20598143861662"
"Georgia","162.61955758106367","154.5916458539553","154.15344068930813","164.47361216418355","168.6201558515989","177.3237102487541","180.21518836831123","183.320433742784","185.70810357417372","188.38017495912143","197.1175600861826","188.7261537492868","195.4969429391936","197.90378683900465","201.09052818856435","211.26365759897791","207.37391257121376","211.75682875303553","198.29974009709474","186.71570245422583","197.22058458321249","179.4731532460294","163.6980271672518","165.53552759934968","171.26433175625726","170.36722559669485","169.30225049414835","167.13293225153743","168.3816286400789","163.1260031163956","143.76658972827295","151.3722182352654","151.02666171047662"
"North Carolina","130.77495186535617","130.27772316951337","142.60596517600814","148.80013126925786","146.14601860818144","153.48263876382512","166.49214405522127","169.12526393286134","170.11497778239237","168.20675645639037","176.56774637795618","171.96557626459628","174.50995315501132","176.7533208537087","179.0899114228382","182.2696342323056","177.18452373948196","182.06672893544726","175.38549849034774","161.48207501247126","175.03386759022516","160.43907106195016","152.02407274570513","152.85402780423286","155.68520664589624","152.3333489902182","154.3367350073148","150.46930103791013","154.523727564134","154.32180427335007","136.6993140709371","145.456841018431","146.40705207678585"
"Kentucky","171.03930505599524","168.2467874104051","174.51613826919268","183.43094661131397","181.82561185421181","186.77981464505984","186.79446950262204","195.87252960075688","198.79130346590853","197.1226526033258","197.3194754126945","195.29042735075402","195.5764979597734","188.67692740021047","196.23947659335542","194.03423412651338","197.1647698052131","197.71025945123526","194.08748827899544","182.0707490173338","189.7628650889677","189.8882957766882","175.21464982489005","175.3284417451386","175.39781172606698","164.49162994447315","155.8913554665025","148.35782881162163","153.6679783000516","143.96497008148052","128.6814627178113","138.42075402210048","137.24184503199882"
"Alabama","150.51502837624125","153.55997239087048","158.7725451852246","161.84083660098722","163.6055335885638","174.75835938982542","178.77563803141783","175.20741943387188","178.98916329383405","182.1008165494305","188.96388481091466","174.05795367740296","173.38729063988526","175.01123233257078","175.14355805310507","175.21675761655317","176.97402999352875","179.7864309705981","173.854709686898","153.16509782946696","164.5892328941074","160.0014430202196","151.87744768465106","150.43014057860248","153.0427916089977","146.79372255100057","139.95675147562412","134.8859984356542","140.33797688898326","133.10952067703175","126.28820288371853","136.68777649990102","137.01419673899386"
"Oklahoma","145.49752661163603","146.71987803502066","147.86516042214888","150.93261910835952","149.64475607971224","150.42226064051047","153.25171319215514","152.78492582406818","151.15446968405615","148.41077787904385","151.47987164743884","152.55172753036248","152.95477089907024","154.57729962315238","153.92134799142138","159.2053872213043","160.16650761903026","162.56370129588942","165.73021780295036","159.124133816496","158.53265012139968","161.47462621873697","154.972581731381","157.11376077979023","158.2535381420496","154.49135935684882","149.28132509544162","148.73652817916695","153.46785438189147","144.4685037240253","131.38707385224117","134.6387713224621","135.77450082650103"
"Minnesota","115.09495761922476","114.04185401376303","113.46919603726683","119.86896739610202","120.53243069837204","124.97508870428355","129.00087733536262","126.86670285964018","128.6823244723127","128.67546637251567","133.1960653594788","128.400575620085","131.87943127324635","136.97964771731458","136.813625771115","136.48848159860128","133.04710502480935","135.6026402122965","135.28712154034272","126.33529100898093","142.22308481595883","140.98209259137468","136.30502450730685","141.71588627565907","149.49913184246228","136.0510530332593","137.23874270059844","137.2719586854613","145.14808194103097","139.1498450585978","123.60699661703606","129.49793592091584","129.53820266920715"
"Colorado","101.02677768514995","102.83767387210048","106.08240089513686","107.89000262758485","109.5770770741058","109.21575860545448","111.9296319561786","114.45749585406965","117.4608742031783","118.56673329263896","124.71706756141762","132.9113549162325","132.87494492866693","130.88198156910195","133.1278712087268","137.87782512141322","140.13169414936135","144.46929806554587","142.5177414887472","137.26243044778283","141.1055946414084","135.2325868848579","133.0583335019477","131.3846722468212","131.83019778520242","129.3760933641602","128.31494065576996","128.988637395336","130.42524216278565","132.20974654128858","120.24502839967334","121.63938112459896","123.49370862179543"
"Wisconsin","118.45126809995392","121.09078507998788","119.86053872300864","122.8975224420974","125.64562821893156","129.2184334161281","133.73501827554878","136.25468976900387","135.1472833658911","138.6500552071154","139.92606107088076","138.2601539053625","139.9342076528032","138.87722938154815","140.34006651875373","143.6270755218747","136.6134200964186","138.7574137843663","138.17041853379726","128.496219154679","130.88947046054318","129.23331223978732","121.99527615103065","132.79655669837913","133.40290868249917","131.86330717347343","127.8179218790395","130.60361091578534","134.01869666186874","126.099611503446","117.84335752404893","123.8574430196847","122.25594756291112"
"Iowa","106.1551108108061","107.94624809556636","102.65113298322709","106.23226935997337","108.60038988046647","112.17856139597588","114.44410231599399","112.86121822408803","118.49143879655186","121.88554957488893","120.2853202666427","120.33141658258832","123.41523219129273","120.59771278202405","122.07276180299253","122.81816929954206","126.91586126382681","133.00311298359284","135.98668582223962","128.68299243678996","135.50563277545155","133.90685493547284","127.50990342067497","129.33288644681784","133.59546267155315","125.13358272972283","120.28084961275857","121.56628790854562","132.70664789131567","123.64649954213819","109.74922647822244","118.75747479324178","118.35223877202185"
